Depth,destruction,Victim's reaction,Magnitude,Intensity
11,6,7,6.7,8
8,6,7,6,8
9,6,7,5.6,8
33,5,6,5.5,7
15,6,7,6,8
10,5,6,6,7
201.7,3,4,7.1,5
21,2,3,5.2,4
68,5,6,7.2,7
192.955,2,3,6.5,4
11,8,9,6.1,10
6,3,4,4.7,5
74.72,6,7,6.6,8
7,5,6,5.4,7
65,7,8,6,9
5,2,3,4,4
50,9,10,7.6,11
10,8,9,7.4,10
26,7,8,7.4,9
93.34,8,9,7.5,10
70,4,5,7,6
11,6,7,6.6,8
42.48,8,9,7.2,10
10,4,5,6.5,6
42,3,4,4.7,5
33,8,9,6.3,10
115,5,6,7.5,7
60,4,5,5.4,6
10,2,3,7.5,4
14,7,8,8.3,9
39,6,7,8,8
10,2,3,3.5,4
173.7,4,5,7.4,6
24,6,7,4.5,8
16,6,7,6.7,8
150,3,4,6.8,5
10,7,8,7.2,9
10,5,6,5.5,7
28,9,10,7.3,11
460,2,3,6.5,4
129.09,4,5,5,6
49,6,7,6.9,8
15,7,8,8.1,9
107,2,3,6.4,4
11,6,7,6.3,8
19,6,7,4.6,8
33,9,10,7.3,11
60,9,10,7.7,11
25,6,7,6.7,8
18.32,5,6,6.2,7
47.4,7,8,8.2,9
17,5,6,6.6,7
33,3,4,7.8,5
60.21,3,4,7,5
10,6,7,6.2,8
14,4,5,5.8,6
24,5,6,7,7
7,4,5,5.5,6
32,3,4,7,5
29,6,7,9.1,8
107,2,3,6.4,4
11,8,9,6.6,10
24,7,8,6.1,9
9,5,6,6.5,7
9,6,7,6,8
10,7,8,6.6,9
33,7,8,7.3,9
33,7,8,8.7,9
11,5,6,5.3,7
29,7,8,9.1,9
39,4,5,5.7,6
60,8,9,7.9,10
17.925,7,8,7.8,9
147,4,5,6.8,6
12,9,10,7.3,11
10,5,6,6.5,7
15.56,8,9,6.4,10
10,4,5,4.7,6
10,5,6,5.5,7
9,3,4,7,5
33,6,7,5.8,8
15,7,8,6.7,9
10,4,5,5.1,6
5,2,3,4,4
10,6,7,6,8
11,6,7,6.6,8
101,5,6,6.5,7
20,4,5,5.8,6
7,6,7,6,8
15,8,9,7.5,10
10,1,2,6.9,3
10,3,4,6.8,5
10,5,6,5.9,7
10,6,7,6.3,8
236,3,4,7.2,5
9,5,6,4.1,7
20,8,9,7.5,10
10,6,7,5.5,8
26.943,6,7,7.6,8
80,5,6,7.5,7
10,6,7,6.3,8
47.23,4,5,7.5,6
14,9,10,7.2,11
24,5,6,7.4,7
70,4,5,7,6
33,5,6,6.8,7
74,6,7,5.2,8
10,3,4,6.5,5
8,3,4,6.9,5
117.94,7,8,7,9
8.2,8,9,7.8,10
20,8,9,7.3,10
15,7,8,7.6,9
38,3,4,6.5,5
35,8,9,7.6,10
15,8,9,6.4,10
27.8,2,3,6.6,4
124.01,6,7,6.3,8
62,5,6,6.6,7
17,4,5,5,6
22,5,6,7.2,7
10,3,4,4.7,5
56.6,3,4,6.9,5
70,5,6,7.7,7
24,6,7,5,8
11,7,8,6.6,9
5,6,7,5.1,8
60,9,10,7.5,11
11,7,8,7,9
33,6,7,5.8,8
10,3,4,6.7,5
31.21,8,9,7.1,10
16.441,3,4,6.8,5
49,6,7,7.9,8
9,6,7,6.5,8
25,7,8,7.6,9
10,4,5,6.1,6
10,6,7,5,8
10,2,3,5.4,4
15,8,9,7.5,10
15,5,6,6.6,7
18,8,9,6.5,10
30,5,6,7.8,7
10,3,4,4.5,5
600,10,11,8.5,12
55.14,5,6,7.1,7
598,10,11,8.3,12
110.79,6,7,6,8
33,5,6,5,7
10,10,11,8.1,12
33,5,6,8.1,7
10,9,10,8.5,11
7,4,5,4.6,6
12,7,8,6.3,9
149.76,7,8,6.8,9
11,8,9,7.6,10
10,6,7,6.4,8
11,4,5,6.7,6
53,6,7,6.1,8
17,2,3,4.8,4
146,9,10,7.3,11
33,7,8,6.3,9
40.8,2,3,6.7,4
30,6,7,8.2,8
3,6,7,6.4,8
28,8,9,7.9,10
36,6,7,6,8
18,5,6,6.6,7
38.69,4,5,5,6
10,5,6,7.4,7
525,1,2,7.1,3
236,7,8,6.4,9
10,8,9,6.2,10
44,9,10,7.2,11
30,5,6,5.3,7
10,4,5,5,6
10.16,8,9,7.3,10
130,8,9,7.5,10
6,3,4,3.9,5
10,6,7,6,8
577,0,1,6.5,2
31,6,7,5.2,8
10,3,4,4.5,5
17,7,8,6.5,9
10,7,8,6.9,9
13,8,9,6.2,10
10,5,6,5.6,7
57,8,9,6.1,10
69,4,5,6,6
11,5,6,6.9,7
5,1,2,3.9,3
147,4,5,6.8,6
11,6,7,6.6,8
33,9,10,7.7,11
220,2,3,6.5,4
15,6,7,6.4,8
22,4,5,5.3,6
120,8,9,6.5,10
18,7,8,6,9
112,6,7,7.5,8
23,3,4,6.6,5
19,5,6,8,7
19,2,3,7.2,4
66,7,8,6.7,9
58.32,5,6,5.5,7
112,4,5,6.8,6
112,5,6,7.2,7
18,10,11,7.8,12
10,5,6,7.1,7
8,2,3,6.5,4
33,4,5,7.9,6
10,4,5,6.6,6
110,9,10,8.3,11
10,4,5,4.5,6
22,8,9,7.5,10
94.54,5,6,7.9,7
33,7,8,6.2,9
11,5,6,5.1,7
10,5,6,5.8,7
17.24,7,8,6.5,9
10,2,3,4.9,4
69,6,7,7.8,8
39,5,6,5.4,7
155,3,4,7.1,5
29,5,6,6.9,7
15,5,6,5.9,7
10,5,6,7.1,7
33,4,5,4,6
60.5,7,8,8,9
25,7,8,6.1,9
37,2,3,4.8,4
43.76,5,6,5.5,7
10,7,8,7.5,9
27,6,7,5.6,8
10,3,4,6.8,5
10,4,5,5.5,6
22,7,8,7.3,9
35,6,7,6.8,8
20,6,7,6.1,8
10,2,3,7,4
66,6,7,5.4,8
215,8,9,7.8,10
5,2,3,4,4
16,3,4,4.5,5
150,8,9,7.5,10
60.69,6,7,5,8
26.58,5,6,5.5,7
13,6,7,6.3,8
40,5,6,7.7,7
10,7,8,6.3,9
10,3,4,7,5
15,3,4,7.8,5
20,5,6,5.5,7
14,7,8,7.9,9
19,6,7,7.5,8
110,9,10,8.3,11
10,8,9,7.6,10
35,8,9,7.5,10
75,7,8,8.3,9
20,5,6,6.5,7
50.46,6,7,6,8
20,10,11,7.8,12
10,3,4,6.8,5
50,5,6,6.2,7
35,9,10,7.9,11
340,9,10,8.4,11
36,4,5,6.5,6
10,3,4,5.5,5
88,4,5,5.6,6
11,7,8,7,9
128,9,10,7.4,11
55,6,7,7.9,8
66,4,5,6.7,6
112,5,6,7.2,7
130,5,6,7,7
10,8,9,6.4,10
22.9,6,7,8.8,8
31,4,5,5.9,6
187,8,9,6.5,10
5,6,7,4.3,8
33,8,9,7.3,10
20,2,3,6.4,4
6,5,6,5.4,7
33,8,9,7.4,10
123,6,7,6.8,8
17,5,6,5.7,7
30,4,5,6.6,6
39,2,3,5.3,4
43.8,6,7,6,8
37,5,6,7.3,7
10,5,6,5.7,7
10,7,8,7.8,9
25,3,4,4.8,5
14,7,8,6.7,9
15,5,6,6.1,7
105.33,5,6,6.8,7
33,7,8,6.3,9
190,9,10,7.9,11
62,6,7,6.1,8
122.57,6,7,8,8
83,4,5,6.5,6
10,8,9,5.1,10
26,4,5,6.8,6
200.7,2,3,6.7,4
15,5,6,6.6,7
33,3,4,6.9,5
10,6,7,6,8
10,6,7,6.6,8
231,5,6,7.5,7
33,4,5,6.7,6
23,5,6,5.7,7
35,4,5,6.7,6
33,5,6,5.3,7
20,10,11,7.8,12
350,9,10,7.9,11
22,5,6,6.8,7
31.05,6,7,5.8,8
129,6,7,6.1,8
33,7,8,7.8,9
101.77,8,9,6,10
10,8,9,7.3,10
43,5,6,7,7
44,6,7,5.5,8
28.737,5,6,6.5,7
7,5,6,5.7,7
35,6,7,6.8,8
105.54,6,7,6.3,8
66,4,5,6.7,6
33,0,1,5.9,2
21,9,10,7.1,11
116.09,5,6,5.5,7
20,9,10,7.6,11
15,2,3,7.7,4
77.12,6,7,6.3,8
116.31,5,6,5.5,7
24,6,7,5.3,8
16,6,7,6.3,8
13,5,6,5.7,7
27,5,6,5.3,7
8.2,5,6,6.5,7
20,7,8,6.4,9
33,5,6,5.3,7
223,4,5,6.7,6
10,7,8,6.2,9
28,5,6,7.2,7
26,5,6,5.1,7
41,4,5,6.5,6
25,6,7,5.8,8
27,4,5,5.5,6
86.94,6,7,7,8
17,4,5,6.7,6
33,5,6,7.6,7
33,9,10,7.5,11
10,3,4,4.2,5
35,9,10,7.3,11
27,3,4,4.7,5
236,3,4,7.2,5
14,6,7,6.4,8
120,8,9,7.3,10
5,4,5,5,6
620,9,10,7.5,11
20,7,8,6.4,9
100,7,8,6.8,9
10,7,8,6.9,9
12.26,5,6,6.5,7
15,5,6,6.3,7
10,5,6,6.5,7
15,6,7,5.8,8
40,5,6,5.4,7
10,4,5,4.3,6
35,9,10,7.9,11
15,7,8,6.8,9
33,4,5,7.9,6
57.8,3,4,7.5,5
8,6,7,6.9,8
60,5,6,8.6,7
8,6,7,6.1,8
26,8,9,7.6,10
22.9,7,8,8.8,9
62.96,8,9,7.2,10
10,8,9,6.6,10
58.59,7,8,6.8,9
25,5,6,7.3,7
153,9,10,7.8,11
30,6,7,6.9,8
43.21,2,3,6.6,4
8,6,7,6.1,8
600,9,10,7.5,11
10,7,8,7.3,9
630,1,2,7.1,3
12,6,7,7,8
150.13,5,6,6.2,7
28,6,7,5.6,8
10,7,8,7.5,9
33,4,5,5,6
14,4,5,5.8,6
26.59,3,4,6.7,5
10,7,8,6.5,9
223,4,5,6.7,6
30.3,4,5,8.7,6
12,5,6,6.5,7
19,4,5,6.8,6
12,7,8,6.9,9
10,4,5,6.9,6
12.06,6,7,6.5,8
28,4,5,6.9,6
33,7,8,6.3,9
550,3,4,6.4,5
33,4,5,7.5,6
50,8,9,7.8,10
10,2,3,4.6,4
40,5,6,7.7,7
40,6,7,5.2,8
31,5,6,7.5,7
10,4,5,5.3,6
600,8,9,7.5,10
33,2,3,6.7,4
10,6,7,6.5,8
12,2,3,5.1,4
10,4,5,6.1,6
33,4,5,7.9,6
10,3,4,6.8,5
37,5,6,5.8,7
8,2,3,6.5,4
21,4,5,5.6,6
14,4,5,6.6,6
86,5,6,7.1,7
60.5,7,8,8,9
20,2,3,6.5,4
24,4,5,6.8,6
70,9,10,8.5,11
33,5,6,6.8,7
22,6,7,4.9,8
88.8,4,5,7.6,6
670.81,2,3,7.9,4
68,5,6,7.2,7
116.09,5,6,5.5,7
10,6,7,6.5,8
29,7,8,9.1,9
34,2,3,4.4,4
3,6,7,5.1,8
30,2,3,6.5,4
68.88,7,8,6.2,9
10,5,6,5.8,7
10,10,11,8.1,12
33,4,5,6.6,6
33,5,6,5.4,7
2,3,4,4.2,5
11,6,7,5.4,8
30,8,9,7,10
61.63,6,7,6,8
10,6,7,6.1,8
60,7,8,7.9,9
1,6,7,6,8
9,5,6,6.6,7
9,5,6,6.5,7
25,3,4,4.9,5
23,3,4,5.2,5
135.79,7,8,6.7,9
93,4,5,6.9,6
10,6,7,6.8,8
40,6,7,7.1,8
10,6,7,5.2,8
550,3,4,6.4,5
430,8,9,7.5,10
29,4,5,6.6,6
112,8,9,7.5,10
30,9,10,7.6,11
10,7,8,6.8,9
33,4,5,6.5,6
30,10,11,8.6,12
10,4,5,7.1,6
600,2,3,8,4
60,9,10,7.8,11
14,3,4,4.9,5
10,4,5,7.1,6
350,8,9,7.7,10
10,5,6,6.9,7
10,8,9,6.4,10
5,4,5,5.8,6
73,5,6,7,7
20,8,9,6.2,10
62,6,7,6.1,8
33,4,5,5,6
10,7,8,6.6,9
18.98,5,6,7.2,7
60,8,9,7.8,10
24,6,7,7.5,8
46,3,4,6.8,5
19,5,6,5.7,7
18,6,7,6.1,8
19,7,8,8.1,9
14,5,6,5.3,7
33,3,4,4.7,5
37,9,10,7.7,11
150,7,8,7,9
60,8,9,7.8,10
10,7,8,6.6,9
33,8,9,7.6,10
31.1,5,6,7.4,7
10,8,9,6.6,10
10,5,6,8.2,7
10,7,8,6.4,9
12,3,4,6.8,5
17,6,7,6.2,8
33,4,5,6.6,6
100.8,4,5,6.5,6
630.379,1,2,6.8,3
33,8,9,5.9,10
15,6,7,7.7,8
10,4,5,5,6
5,2,3,4.3,4
20,10,11,7.8,12
36,4,5,7.4,6
10,2,3,4.6,4
153.26,4,5,5,6
10,5,6,7.8,7
25.7,3,4,6.6,5
10,5,6,5,7
8,5,6,5.3,7
4,6,7,6.7,8
91,6,7,7.5,8
10,6,7,5,8
39,8,9,7.5,10
33,9,10,7.5,11
50,4,5,5.8,6
31,4,5,5.9,6
122.9,4,5,6.8,6
120.51,7,8,6.8,9
19,4,5,6.8,6
28,4,5,6.5,6
32,4,5,7.2,6
16,6,7,6,8
33,5,6,5.1,7
23,5,6,7.4,7
10,6,7,7.3,8
32,4,5,6.7,6
11,7,8,6.8,9
21,4,5,7.1,6
100,7,8,6.8,9
60,10,11,8.3,12
33,5,6,5.1,7
5,9,10,7.9,11
25,7,8,6.9,9
10,4,5,5.9,6
115.78,6,7,6.4,8
3,6,7,6.4,8
10,10,11,8.1,12
33,5,6,7,7
41,8,9,7.2,10
5,3,4,4.4,5
6,3,4,4.7,5
11,5,6,5.1,7
35,5,6,7.1,7
10,3,4,4.9,5
48.19,6,7,6.2,8
10,5,6,6.6,7
280,3,4,7.5,5
12,5,6,6.7,7
18,4,5,7.1,6
7,8,9,6.5,10
10,6,7,6.7,8
40,5,6,7.1,7
99,6,7,6.6,8
11.1,8,9,6.6,10
28,4,5,6.7,6
53,3,4,6.6,5
21,4,5,7.1,6
35,10,11,8.2,12
33,5,6,5.4,7
34,4,5,6.5,6
33,3,4,7.9,5
25,8,9,7.9,10
91.27,2,3,7.6,4
79.44,8,9,7.1,10
10,5,6,7.7,7
25,5,6,7.6,7
11,7,8,6.4,9
30.07,7,8,8,9
88,3,4,6.1,5
17,6,7,6,8
33,4,5,5.4,6
231,5,6,7.5,7
10,5,6,6.6,7
46.67,8,9,7.5,10
126,3,4,6.4,5
59.25,7,8,7,9
18,5,6,6.6,7
27,5,6,4.5,7
33,4,5,4.6,6
10,5,6,6.6,7
12,3,4,4.8,5
30,6,7,5.1,8
10,6,7,6.5,8
140,5,6,7.7,7
152.4,6,7,6,8
10,8,9,6.6,10
10,8,9,6.5,10
217,2,3,5.6,4
16,8,9,7.4,10
11,7,8,6.9,9
10,5,6,5.1,7
35,9,10,7,11
11,8,9,6.4,10
25,9,10,7.8,11
18,5,6,7.5,7
70.85,6,7,6.4,8
29,7,8,6.7,9
41,4,5,5,6
33,6,7,5.5,8
33,4,5,7.6,6
8,8,9,6.2,10
10,5,6,5.8,7
27,4,5,6.6,6
116,6,7,7.6,8
10,5,6,5.9,7
10,6,7,6,8
8,3,4,5.5,5
27,7,8,8.16,9
53,5,6,5.4,7
30,7,8,7,9
30,6,7,9.1,8
14,3,4,6.8,5
27,7,8,6.3,9
27,3,4,6.6,5
27,7,8,6.3,9
10,5,6,6.6,7
33,6,7,6.9,8
55,5,6,8,7
26.3,5,6,7.3,7
34,5,6,6.3,7
104.97,9,10,7,11
5,2,3,4.3,4
18,7,8,6.3,9
14,6,7,6.6,8
236,7,8,6.4,9
51,8,9,7.3,10
40,5,6,5,7
22.79,5,6,8.1,7
40,9,10,7.5,11
101.04,5,6,5.8,7
70.85,6,7,6.4,8
33,4,5,7.1,6
10,4,5,4.1,6
10,5,6,6.8,7
14,8,9,6.8,10
124.6,5,6,5,7
19,6,7,6.4,8
61.44,8,9,6.9,10
5,7,8,5.7,9
11,3,4,7,5
9,6,7,5.8,8
40,9,10,7.6,11
4,2,3,4.9,4
60,8,9,7.7,10
33,9,10,7.7,11
10,3,4,4.5,5
36,9,10,7.4,11
10,6,7,6.3,8
24,4,5,7.9,6
18,8,9,6.5,10
12.26,3,4,6.5,5
30,5,6,7.6,7
37.68,6,7,6,8
46.66,4,5,8.2,6
10,5,6,7.1,7
6,2,3,7.1,4
13,5,6,5.8,7
35,5,6,8.2,7
21,3,4,6.4,5
6,5,6,5.1,7
123.72,7,8,6.5,9
10,8,9,6.3,10
53.19,4,5,6.6,6
27,7,8,7.5,9
10,5,6,5.2,7
47,4,5,5.5,6
54,8,9,6,10
14,6,7,6.4,8
35,3,4,7.2,5
15,7,8,6.6,9
45.17,8,9,6.3,10
10,2,3,5.1,4
68,5,6,7.2,7
80,5,6,5.9,7
27,4,5,6.6,6
66.47,3,4,5.5,5
7,6,7,6,8
11,5,6,6.5,7
10,6,7,5.5,8
100,8,9,6.4,10
31,5,6,7.5,7
10,5,6,6.5,7
33,4,5,6.6,6
78,4,5,7.2,6
12,6,7,6.7,8
16,2,3,7.2,4
33,6,7,5.1,8
69,9,10,7.2,11
10,6,7,6,8
27.4,4,5,6.7,6
22,2,3,6.8,4
32,3,4,6.5,5
15,6,7,5.8,8
16,2,3,6.6,4
14.98,6,7,6.3,8
33,8,9,7.5,10
40.7,5,6,7.1,7
10,6,7,7.2,8
33,9,10,7.5,11
10,7,8,8.2,9
10.16,8,9,7.3,10
10,2,3,5.3,4
10,6,7,6.5,8
5,8,9,7.5,10
16,5,6,7.3,7
21,9,10,7.3,11
33,4,5,6.7,6
123.06,5,6,5.5,7
10,7,8,6.9,9
10,5,6,5.7,7
10,5,6,5.5,7
15,6,7,6.9,8
46,4,5,6.7,6
21,4,5,7.1,6
20.39,8,9,6.7,10
23.98,7,8,6.8,9
105,3,4,6.5,5
96,4,5,6.6,6
15,4,5,5.7,6
50,9,10,7,11
15,8,9,8,10
124.63,7,8,6.3,9
125.59,7,8,5.9,9
10,5,6,5.7,7
13,7,8,8.5,9
35,7,8,7.4,9
18,5,6,6.8,7
10,6,7,6.5,8
24,3,4,6.9,5
10,6,7,6.3,8
137,3,4,7,5
18,4,5,7.5,6
44.64,8,9,7.4,10
20,7,8,8,9
15,4,5,5.4,6
15,0,1,7.5,1
35,4,5,7,6
41,6,7,5.6,8
8,6,7,6.2,8
533.76,0,1,6.6,2
10,5,6,5.2,7
10,5,6,6.9,7
6.8,2,3,6.5,4
50,2,3,7.6,4
8,6,7,7.8,8
25,5,6,5.5,7
17,7,8,7.8,9
10,8,9,7.3,10
38,6,7,5.9,8
33,5,6,5.6,7
45,6,7,8.2,8
10,6,7,8.3,8
11,8,9,6.6,10
43,6,7,6.4,8
24,3,4,7.8,5
6,5,6,5.8,7
26,2,3,6.9,4
33,4,5,7.5,6
103,5,6,7.1,7
32,3,4,7.3,5
14,8,9,7,10
33,4,5,5.2,6
34,9,10,7,11
115.78,6,7,6.4,8
33,4,5,5.9,6
10,2,3,4.3,4
10,5,6,7.1,7
60,6,7,7.7,8
164.6,3,4,6.6,5
31,6,7,5.6,8
10,6,7,5.5,8
33,2,3,4.6,4
4.2,7,8,7.9,9
24,7,8,6.6,9
10.2,6,7,7,8
630.379,1,2,6.8,3
27,3,4,6.6,5
10,7,8,5.1,9
150,3,4,6.8,5
30,9,10,8.5,11
10,7,8,7.1,9
123,6,7,6.8,8
40,6,7,5.5,8
25,4,5,6.6,6
146,4,5,7.1,6
11,4,5,7,6
20,2,3,6.4,4
142.92,7,8,8.5,9
10,5,6,5.1,7
100,8,9,7.8,10
28.4,4,5,7.1,6
33,9,10,7.2,11
10,7,8,6.3,9
10,7,8,6.8,9
15,8,9,6.4,10
35,8,9,7.3,10
10,1,2,6.7,3
25,4,5,6.8,6
7,5,6,4.5,7
53,3,4,6.6,5
26.3,5,6,7.3,7
29,2,3,4.9,4
33,5,6,7.2,7
35,4,5,6.8,6
22,5,6,9,7
23,7,8,6.7,9
13,7,8,5.9,9
13,7,8,7,9
10,7,8,6.6,9
45,9,10,7.6,11
35,10,11,8.2,12
10,6,7,7.5,8
11,8,9,6.1,10
145,8,9,7.5,10
10,6,7,5.8,8
33,9,10,7.5,11
5,6,7,5.7,8
10,5,6,7.7,7
10,5,6,5.6,7
55,5,6,6.7,7
10,7,8,6,9
10,2,3,4.9,4
60,8,9,7.5,10
10,2,3,6.8,4
114.63,5,6,4.9,7
41,4,5,5.2,6
66,5,6,7,7
13,2,3,6.6,4
12,6,7,6.6,8
10,4,5,5,6
33,7,8,7.5,9
42.4,3,4,5.2,5
26,5,6,7.6,7
602.75,1,2,6.7,3
9,6,7,6,8
10,8,9,7,10
18,7,8,6.3,9
10,5,6,5.6,7
13,4,5,5.6,6
18,9,10,7.8,11
10,8,9,7.3,10
70,8,9,5.5,10
100.22,8,9,7.5,10
43.9,7,8,5.8,9
48,6,7,7.1,8
10,6,7,6.2,8
21,4,5,6.4,6
33,8,9,6.2,10
16.7,5,6,6.5,7
33,8,9,7.1,10
33,7,8,6.1,9
10,8,9,7.5,10
98,6,7,6.3,8
50,8,9,7.1,10
33,5,6,7.9,7
28.42,3,4,6.9,5
212,4,5,6.6,6
54.7,4,5,6.5,6
10,2,3,6.5,4
25,10,11,8.2,12
22,7,8,8.3,9
13,4,5,5.1,6
10,7,8,6.3,9
10,7,8,7.2,9
31,4,5,7,6
9,6,7,6.5,8
11.6,7,8,6.8,9
15.4,4,5,6.8,6
30,5,6,7.8,7
33,8,9,7.3,10
246,2,3,6.5,4
12,8,9,6,10
23.5,7,8,8.3,9
60,7,8,7.7,9
17,9,10,7.6,11
26.89,6,7,6.3,8
100,7,8,7.5,9
10,3,4,7.9,5
33,8,9,7.5,10
606,3,4,7.6,5
33,4,5,6.6,6
